frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,-0.07912109,1.257876,-0.11868164,0.0
0,-1.476927,1.3010726,0.061538626,0.0
1,0.013186848,0.10383334,0.4087923,0.0
1,-0.07619068,1.2142797,0.07619068,0.0
1,-1.476927,1.3010726,0.061538626,0.0
2,0.013186848,0.10383334,0.4087923,0.0
2,-0.0,1.2653192,-0.039560545,0.0
2,-1.476927,1.3010726,0.061538626,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,-0.039560545,1.259741,0.11868164,0.0
3,-1.476927,1.3010726,0.061538626,0.0
4,0.013186848,0.10383334,0.4087923,0.0
4,0.656412,1.1339743,-0.0820515,0.0
4,-0.164103,1.2862734,0.20512876,0.0
4,-1.476927,1.3010726,0.061538626,0.0
5,0.013186848,0.10383334,0.4087923,0.0
5,-0.03809534,1.1889164,-0.26666737,0.0
5,-0.0,1.312824,0.0,0.0
5,-1.476927,1.3010726,0.061538626,0.0
6,0.013186848,0.10383334,0.4087923,0.0
6,-0.15238136,1.199852,-0.15238136,0.0
6,-0.0,1.3025272,-0.164103,0.0
6,-1.476927,1.3025272,0.0,0.0
7,0.013186848,0.10383334,0.4087923,0.0
7,-0.0,1.260362,-0.11868164,0.0
7,-1.476927,1.3025272,0.0,0.0
8,0.013186848,0.10383334,0.4087923,0.0
8,0.69743776,1.1114875,-0.04102575,0.0
8,-0.164103,1.2999402,0.0820515,0.0
8,-1.476927,1.3010726,0.061538626,0.0
9,0.013186848,0.10383334,0.4087923,0.0
9,-0.039560545,1.262843,-0.07912109,0.0
9,-1.476927,1.3010726,0.061538626,0.0
10,0.013186848,0.10383334,0.4087923,0.0
10,-0.11868164,1.260362,0.0,0.0
10,-1.476927,1.3010726,0.061538626,0.0
11,0.013186848,0.10383334,0.4087923,0.0
11,-0.07912109,1.2634624,0.0,0.0
11,-1.476927,1.3010726,0.061538626,0.0
12,0.013186848,0.10383334,0.4087923,0.0
12,-0.07912109,1.2634624,0.0,0.0
12,-1.476927,1.3010726,0.061538626,0.0
13,0.013186848,0.10383334,0.4087923,0.0
13,-0.07912109,1.262843,-0.039560545,0.0
13,-1.476927,1.3010726,0.061538626,0.0
14,0.013186848,0.1462492,0.39560544,0.0
14,-0.07912109,1.2634624,0.0,0.0
14,-1.476927,1.3010726,0.061538626,0.0
15,0.013186848,0.10383334,0.4087923,0.0
15,-0.039560545,1.2647007,0.039560545,0.0
15,-1.476927,1.3010726,0.061538626,0.0
16,0.013186848,0.10383334,0.4087923,0.0
16,-0.039560545,1.2647007,0.039560545,0.0
16,-1.476927,1.3010726,0.061538626,0.0
17,0.013186848,0.10383334,0.4087923,0.0
17,-0.0,1.3102574,0.0820515,0.0
17,0.164103,1.1883312,-0.53333473,0.0
17,-1.476927,1.3010726,0.061538626,0.0
18,0.013186848,0.10383334,0.4087923,0.0
18,0.11868164,1.2199795,-0.31648436,0.0
18,-1.476927,1.3010726,0.061538626,0.0
19,0.013186848,0.10383334,0.4087923,0.0
19,0.11868164,1.2447435,-0.19780272,0.0
19,-1.476927,1.3010726,0.061538626,0.0
20,0.013186848,0.10383334,0.4087923,0.0
20,0.039560545,1.2553852,-0.15824218,0.0
20,-0.39560544,1.3032093,-0.35164928,0.0
20,-1.476927,1.3010726,0.061538626,0.0
21,0.013186848,0.10383334,0.4087923,0.0
21,-0.07619068,1.2016649,-0.1904767,0.0
21,-0.12747286,1.34301,-0.16996382,0.0
21,-1.476927,1.3010726,0.061538626,0.0
21,0.04102575,1.259163,-0.36923176,-0.2411585
22,0.013186848,0.10383334,0.4087923,0.0
22,-0.03809534,1.2178599,-0.03809534,0.0
22,-0.21245478,1.326099,-0.21245478,0.0
22,0.03516493,1.0425675,-0.42197916,-0.84405476
23,0.013186848,0.10383334,0.4087923,0.0
23,-0.039560545,1.2653192,0.0,0.0
23,-1.476927,1.3010726,0.061538626,0.0
23,0.032234516,0.9982297,-0.25787613,-0.7234755
23,1.0153873,1.1015295,-0.3868142,-0.36173776
23,-0.29011065,1.5074592,-0.1934071,-0.36173776
24,0.013186848,0.10383334,0.4087923,0.0
24,-0.07912109,1.2634624,0.0,0.0
24,0.8923101,1.0259608,0.0,0.0
25,0.013186848,0.10383334,0.4087923,0.0
25,-1.476927,1.3010726,0.061538626,0.0
25,0.032234516,1.0310007,0.0,0.36173776
25,0.07912109,1.262843,-0.039560545,-0.12057925
26,0.013186848,0.10383334,0.4087923,0.0
26,-0.039560545,1.259741,-0.11868164,0.0
26,-1.476927,1.3010726,0.061538626,0.0
26,0.03369972,1.0773374,0.03369972,0.2411585
27,0.013186848,0.10383334,0.4087923,0.0
27,-0.039560545,1.262843,-0.07912109,0.0
