frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,0.042490955,1.3590465,0.0,0.0
0,0.28131944,1.4617786,-0.18754628,-0.12057925
1,0.013186848,0.10383334,0.4087923,0.0
1,0.042490955,1.3590465,0.0,0.0
1,0.14065972,1.4752516,-0.23443285,0.0
2,0.013186848,0.10383334,0.4087923,0.0
2,0.08498191,1.3570523,0.0,0.0
2,0.1362641,1.3405076,-0.5450564,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,0.17582464,1.3245326,-0.4395616,0.0
3,0.33846244,1.4713565,-0.33846244,0.0
4,0.013186848,0.10383334,0.4087923,0.0
4,0.04102575,1.3115413,-0.04102575,0.0
4,0.984618,0.8595849,-0.12307725,0.0
4,0.33846244,1.4816487,-0.29011065,0.0
5,0.013186848,0.10383334,0.4087923,0.0
5,0.04102575,1.3115413,-0.04102575,0.0
5,0.328206,1.4451412,-0.23443285,0.0
6,0.013186848,0.10383334,0.4087923,0.0
6,0.04102575,1.3115413,-0.04102575,0.0
6,0.94359225,0.90442944,-0.12307725,0.0
6,0.2725282,1.2998766,-0.59047776,0.0
6,-0.18168546,1.4356314,0.1362641,0.0
7,0.013186848,0.10383334,0.4087923,0.0
7,0.16996382,1.34301,-0.12747286,0.0
7,0.18754628,1.485646,-0.09377314,0.0
8,0.013186848,0.10383334,0.4087923,0.0
8,-0.0,1.3025272,-0.164103,0.0
8,0.18754628,1.481942,-0.14065972,0.0
9,0.013186848,0.10383334,0.4087923,0.0
9,0.08498191,1.351052,0.12747286,0.0
9,0.328206,1.4367502,-0.28131944,0.0
10,0.013186848,0.10383334,0.4087923,0.0
10,0.13186848,1.3830483,-0.2197808,0.0
10,0.33846244,1.4973445,-0.1934071,0.0
11,0.013186848,0.10383334,0.4087923,0.0
11,0.0820515,1.2941008,-0.20512876,0.0
11,0.13186848,1.3661813,-0.30769312,0.0
11,0.33846244,1.4713565,-0.33846244,0.0
12,0.013186848,0.1462492,0.39560544,0.0
12,0.12747286,1.347707,0.12747286,0.0
12,1.0622739,0.84449106,-0.08498191,0.0
12,0.28131944,1.4367502,-0.328206,0.0
13,0.013186848,0.10383334,0.4087923,0.0
13,0.08498191,1.351052,0.12747286,0.0
13,0.977292,0.94440866,-0.042490955,0.0
13,0.37509257,1.415167,-0.328206,0.0
13,-1.476927,1.3010726,0.061538626,0.0
14,0.013186848,0.10383334,0.4087923,0.0
14,0.22710682,1.4095267,-0.2725282,0.0
14,-1.476927,1.3010726,0.061538626,0.0
15,0.013186848,0.10383334,0.4087923,0.0
15,0.0820515,1.2999402,-0.164103,0.0
15,0.18168546,1.4065964,-0.31794956,0.0
15,-1.476927,1.3010726,0.061538626,0.0
16,0.013186848,0.10383334,0.4087923,0.0
16,0.164103,1.301881,-0.04102575,0.0
16,0.2197808,1.3440814,-0.35164928,0.0
16,0.42197913,1.376582,-0.42197913,0.0
16,-1.476927,1.3010726,0.061538626,0.0
17,0.013186848,0.10383334,0.4087923,0.0
17,0.12307725,1.2966993,-0.164103,0.0
17,0.0820515,1.2571565,0.36923176,0.0
17,0.42197913,1.39009,-0.37509257,0.0
18,0.013186848,0.10383334,0.4087923,0.0
18,0.13186848,1.3555328,-0.35164928,0.0
19,0.013186848,0.10383334,0.4087923,0.0
19,0.13186848,1.3661813,-0.30769312,0.0
20,0.013186848,0.10383334,0.4087923,0.0
20,0.12747286,1.3537221,0.0,0.0
20,0.23443285,1.4632818,-0.23443285,0.12057925
21,0.013186848,0.10383334,0.4087923,0.0
21,0.2197808,1.3440814,-0.35164928,0.0
21,0.29011065,1.4697667,-0.3868142,0.0
21,-0.07032986,1.1225271,0.03516493,-0.6028963
22,0.013186848,0.10383334,0.4087923,0.0
22,0.26373696,1.3640581,-0.2197808,0.0
22,0.16996382,1.3483766,-0.042490955,0.12057925
22,-0.29011065,0.8967918,0.4190487,0.6028963
22,0.45128322,0.88101125,0.29011065,0.6028963
23,0.013186848,0.10383334,0.4087923,0.0
23,0.328206,1.42677,-0.328206,0.0
23,0.12747286,1.3537221,0.0,0.12057925
23,-0.2505501,0.77450204,0.3619057,0.36173776
24,0.013186848,0.1462492,0.39560544,0.0
24,-1.476927,1.3010726,0.061538626,0.0
24,0.12747286,1.347707,-0.12747286,0.12057925
24,0.29011065,1.5167359,-0.09670355,0.12057925
24,0.02490849,0.7904277,0.09963396,-0.2411585
25,0.013186848,0.10383334,0.4087923,0.0
25,0.6798553,1.176777,0.042490955,0.0
25,-1.476927,1.3010726,0.061538626,0.0
25,0.2197808,1.3548199,-0.30769312,0.12057925
25,-0.0,0.79082006,0.09963396,0.36173776
26,0.013186848,0.10383334,0.4087923,0.0
26,0.08498191,1.3543887,-0.08498191,0.0
26,0.33846244,1.4713565,-0.33846244,0.12057925
26,0.278389,0.84439564,-0.0556778,-0.6028963
26,0.1670334,0.6510971,0.5846169,-0.6028963
26,-0.3619057,0.81211376,0.0556778,-0.6028963
27,0.013186848,0.10383334,0.4087923,0.0
27,0.08791232,1.3590915,-0.35164928,0.0
27,-1.476927,1.3010726,0.061538626,0.0
27,0.33846244,1.4713565,-0.33846244,0.12057925
27,0.19340709,1.0049727,-0.12893806,-0.36173776
27,-0.5802213,0.850405,-0.06446903,-0.36173776
27,0.096703544,0.8243469,0.6124558,-0.36173776
28,0.013186848,0.10383334,0.4087923,0.0
28,0.13186848,1.3661813,-0.30769312,0.0
28,-1.476927,1.3010726,0.061538626,0.0
28,0.2989019,1.5265471,-0.34871888,0.12057925
28,2.0219831,0.7474963,0.06739944,0.2411585
28,0.6739944,2.0387635,-0.20219833,0.2411585
28,0.29304108,1.1200678,-0.18315068,-0.964634
28,0.14652054,0.9580023,0.6593424,-0.964634
28,-0.58608216,1.0124772,-0.07326027,-0.964634
29,0.013186848,0.10383334,0.4087923,0.0
29,0.12747286,1.351052,0.08498191,0.0
29,-1.476927,1.3010726,0.061538626,0.0
29,0.34871888,1.4558154,-0.5479868,0.12057925
29,0.29011065,1.5190463,-0.048351776,-0.12057925
30,0.013186848,0.10383334,0.4087923,0.0
30,0.12747286,1.3530551,-0.042490955,0.0
30,0.1362641,1.3881412,-0.4087923,0.0
30,0.34871888,1.5036148,-0.39853585,-0.2411585
31,0.013186848,0.10383334,0.4087923,0.0
31,0.08498191,1.3563869,0.042490955,0.0
31,-1.476927,1.3010726,0.061538626,0.0
31,0.48791337,1.5543045,-0.59633857,-0.36173776
31,0.33846244,1.4903018,-0.24175888,-0.12057925
32,0.013186848,0.10383334,0.4087923,0.0
32,0.042490955,1.3483766,-0.16996382,0.0
32,1.0197829,0.86247224,-0.25494573,0.0
32,0.18168546,1.3686838,-0.45421365,0.0
32,-1.476927,1.3010726,0.061538626,0.0
32,0.29011065,1.4918698,-0.29011065,-0.2411585
33,0.013186848,0.10383334,0.4087923,0.0
33,0.04102575,1.3121828,0.0,0.0
33,0.94359225,0.90906996,-0.0820515,0.0
33,0.18168546,1.3829296,-0.4087923,0.0
33,-0.04395616,1.4059101,0.0,0.7234755
33,0.08791232,0.9262138,-1.0549479,0.7234755
33,0.96703553,1.0129011,-0.13186848,0.7234755
34,0.013186848,0.10383334,0.4087923,0.0
34,0.2197808,1.3893206,0.0,0.0
34,-1.476927,1.3010726,0.061538626,0.0
34,0.2197808,1.1367152,-0.18315068,-0.84405476
35,0.013186848,0.10383334,0.4087923,0.0
35,0.6798553,1.1744733,0.08498191,0.0
35,0.09084273,1.3776983,-0.45421365,0.0
35,-1.476927,1.3025272,0.0,0.0
36,0.013186848,0.10383334,0.4087923,0.0
36,0.08498191,1.3463666,0.16996382,0.0
36,0.28131944,1.3971883,-0.4688657,0.0
36,-1.476927,1.3025272,0.0,0.0
36,0.11428602,1.208289,0.11428602,0.36173776
37,0.013186848,0.10383334,0.4087923,0.0
37,0.08498191,1.3563869,-0.042490955,0.0
37,0.18754628,1.4275402,-0.42197913,0.0
38,0.013186848,0.10383334,0.4087923,0.0
38,0.18168546,1.4240884,-0.22710682,0.0
38,-1.4153883,1.3677644,0.061538626,0.0
39,0.013186848,0.10383334,0.4087923,0.0
39,0.18168546,1.416098,-0.2725282,0.0
39,-1.476927,1.3010726,0.061538626,0.0
39,0.15238136,1.2088895,0.03809534,0.12057925
40,0.013186848,0.10383334,0.4087923,0.0
40,0.13186848,1.3997121,-0.04395616,0.0
40,0.11428602,1.208289,0.11428602,-0.482317
41,0.013186848,0.10383334,0.4087923,0.0
41,0.26373696,1.3788508,0.08791232,0.0
41,0.12307725,1.2651639,0.328206,0.12057925
41,0.24175888,1.5274876,-0.048351776,0.2411585
41,0.25641096,1.1437756,0.0,-0.12057925
