frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,-0.25494573,1.3328892,-0.08498191,0.0
0,-1.476927,1.3010726,0.061538626,0.0
1,0.013186848,0.10383334,0.4087923,0.0
1,-0.20512876,1.2908452,-0.12307725,0.0
1,0.22710682,1.4095267,-0.2725282,0.0
1,-1.476927,1.3010726,0.061538626,0.0
2,0.013186848,0.10383334,0.4087923,0.0
2,-0.039560545,1.259741,-0.11868164,0.0
2,0.22710682,1.4349127,-0.045421366,0.0
2,-1.5384656,1.2292331,0.0,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,-0.07619068,1.2112881,-0.11428602,0.0
3,0.9025665,0.9498148,-0.0820515,0.0
3,-0.0,1.3102574,-0.0820515,0.0
3,-1.476927,1.3010726,0.061538626,0.0
4,0.013186848,0.10383334,0.4087923,0.0
4,-1.476927,1.3025272,0.0,0.0
4,-0.03809534,1.1968244,-0.22857204,0.12057925
4,-0.21245478,1.2992786,-0.33992764,0.12057925
5,0.013186848,0.10383334,0.4087923,0.0
5,-0.46740052,1.2417251,-0.29743668,0.0
5,1.1897467,0.6568942,0.042490955,0.0
5,-1.476927,1.3025272,0.0,0.0
5,-0.03809534,1.1968244,-0.22857204,0.12057925
5,-0.20512876,1.2908452,-0.12307725,0.12057925
5,0.09084273,1.4248126,-0.2725282,0.12057925
6,0.013186848,0.10383334,0.4087923,0.0
6,-0.20512876,1.2941008,-0.0820515,0.0
6,0.1362641,1.421188,-0.2725282,0.0
6,-1.476927,1.3025272,0.0,0.0
6,0.11428601,1.3229562,-1.2571461,0.36173776
6,-0.42490956,1.2568994,-0.29743668,-0.12057925
7,0.013186848,0.10383334,0.4087923,0.0
7,-0.12307725,1.307042,0.0,0.0
7,0.09084273,1.4327543,-0.22710682,0.0
7,-1.476927,1.3010726,0.061538626,0.0
8,0.013186848,0.10383334,0.4087923,0.0
8,-0.07912109,1.257876,-0.11868164,0.0
8,0.04395616,1.4031589,0.08791232,0.0
8,-1.476927,1.3010726,0.061538626,0.0
8,-0.5743605,1.1690539,-0.164103,-0.2411585
9,0.013186848,0.10383334,0.4087923,0.0
9,-0.07912109,1.257876,-0.11868164,0.0
9,0.1362641,1.4117206,-0.31794956,0.0
9,-1.5384656,1.2292331,0.0,0.0
9,-0.72381145,0.98016876,0.03809534,-0.84405476
10,0.013186848,0.10383334,0.4087923,0.0
10,-0.07912109,1.257876,-0.11868164,0.0
10,0.1362641,1.4117206,-0.31794956,0.0
10,-1.476927,1.3025272,0.0,0.0
10,-0.69597256,0.8836902,0.3296712,-0.84405476
11,0.013186848,0.10383334,0.4087923,0.0
11,-0.04102575,1.3115413,-0.04102575,0.0
11,0.1362641,1.4117206,-0.31794956,0.0
11,-1.476927,1.3025272,0.0,0.0
11,-0.22710682,1.3999805,0.31794956,-0.36173776
11,-0.4717961,0.8471979,0.4717961,-0.2411585
12,0.013186848,0.10383334,0.4087923,0.0
12,-0.04102575,1.306398,-0.12307725,0.0
12,-1.476927,1.3010726,0.061538626,0.0
12,-0.3032975,0.88329273,0.53919554,0.12057925
12,0.1362641,1.4117206,-0.31794956,0.12057925
12,-0.7912109,1.9006909,0.4615397,0.36173776
12,1.7142903,0.94172925,0.7912109,0.36173776
12,0.85714513,1.8869176,0.39560544,0.36173776
13,0.013186848,0.10383334,0.4087923,0.0
13,-0.039560545,1.2553852,-0.15824218,0.0
13,-1.5384656,1.2292331,0.0,0.0
13,0.1362641,1.4291499,-0.22710682,0.12057925
14,0.013186848,0.10383334,0.4087923,0.0
14,-0.0820515,1.309615,-0.04102575,0.0
14,0.86154073,0.97689545,-0.164103,0.0
14,-1.476927,1.3010726,0.061538626,0.0
14,0.18754628,1.4700267,-0.23443285,0.12057925
14,-0.13479888,0.9036302,0.5728953,-0.36173776
15,0.013186848,0.10383334,0.4087923,0.0
15,-0.11868164,1.2503886,-0.15824218,0.0
15,0.93480104,0.98740053,0.0,0.0
15,-0.042490955,1.3260992,0.29743668,0.0
15,0.09377314,1.4707743,-0.28131944,0.0
15,-0.36923176,0.19215433,0.8923101,0.84405476
15,-0.2769238,0.9266622,0.18461588,0.84405476
15,-0.096703544,0.88805944,0.51575226,-0.7234755
15,-0.14652054,1.1254456,0.29304108,-0.2411585
