frame,x,y,z,velocity
0,0.013186848,0.10383334,0.4087923,0.0
0,-0.07326027,1.1647,-0.1098904,0.0
0,-1.476927,1.3025272,0.0,0.0
1,0.013186848,0.10383334,0.4087923,0.0
1,0.14652054,1.1152658,-0.3296712,0.0
1,-0.549452,1.0295609,-0.1098904,0.0
1,-1.476927,1.3025272,0.0,0.0
2,0.013186848,0.10383334,0.4087923,0.0
2,-0.036630135,1.1664268,-0.1098904,0.0
2,0.9025665,0.95246917,-0.04102575,0.0
2,-1.476927,1.3025272,0.0,0.0
3,0.013186848,0.10383334,0.4087923,0.0
3,-0.03516493,1.115898,-0.14065972,0.0
3,1.0256437,0.8194888,0.0,0.0
3,-1.476927,1.3025272,0.0,0.0
4,0.013186848,0.10383334,0.4087923,0.0
4,0.14065972,1.0889778,-0.24615452,0.0
4,1.0256437,0.8194888,0.0,0.0
4,-1.476927,1.3025272,0.0,0.0
5,0.013186848,0.10383334,0.4087923,0.0
5,-0.21098958,1.096334,-0.14065972,0.0
5,1.0256437,0.8194888,0.0,0.0
5,-1.476927,1.3025272,0.0,0.0
6,0.013186848,0.10383334,0.4087923,0.0
6,-0.10109916,1.0544298,-0.20219833,0.0
6,0.036630135,1.1715918,0.0,0.0
6,-0.39560544,1.1601429,-0.31648436,0.0
6,0.977292,0.94536406,0.0,0.0
6,-1.476927,1.3025272,0.0,0.0
6,-0.0,0.9562303,-0.38681418,-0.7234755
7,0.013186848,0.10383334,0.4087923,0.0
7,-0.2769238,1.1828537,-0.35604492,0.0
7,-1.476927,1.3025272,0.0,0.0
7,-0.061538626,0.9106885,-0.36923176,-0.964634
8,0.013186848,0.10383334,0.4087923,0.0
8,-0.31648436,1.1728884,-0.35604492,0.0
8,-1.476927,1.3010726,0.061538626,0.0
8,0.10549479,1.1181121,-0.07032986,-0.2411585
9,0.013186848,0.10383334,0.4087923,0.0
9,-0.14652054,1.1420146,0.2197808,0.0
9,-0.435166,1.1342223,-0.35604492,0.0
9,-1.476927,1.3025272,0.0,0.0
9,-0.0,0.84024125,-0.07912108,-0.2411585
10,0.013186848,0.10383334,0.4087923,0.0
10,-0.2197808,1.1420146,0.14652054,0.0
10,-1.476927,1.3025272,0.0,0.0
10,0.026373696,0.8418953,0.05274739,0.2411585
11,0.013186848,0.10383334,0.4087923,0.0
11,-0.10109916,1.0392417,-0.26959777,0.0
11,-0.18315068,1.1367152,0.2197808,0.0
11,-1.5384656,1.2292331,0.0,0.0
11,-0.0278389,0.8688235,0.1948723,0.482317
12,0.013186848,0.10383334,0.4087923,0.0
12,-0.03516493,1.1109002,0.17582464,0.0
12,-0.35604492,1.1614912,-0.35604492,0.0
12,-1.476927,1.3025272,0.0,0.0
12,-0.029304106,0.9145511,0.20512874,0.2411585
12,0.05860821,0.93176,0.08791232,-0.12057925
13,0.013186848,0.10383334,0.4087923,0.0
13,-0.10549479,1.1114565,0.14065972,0.0
13,-1.476927,1.3025272,0.0,0.0
13,0.05860821,0.9243576,0.14652053,-0.12057925
14,0.013186848,0.10383334,0.4087923,0.0
14,0.03516493,1.1247282,0.0,0.0
14,-1.476927,1.3025272,0.0,0.0
14,0.05860821,0.9192339,0.17582464,-0.12057925
15,0.013186848,0.10383334,0.4087923,0.0
15,-0.16117258,0.9935345,-0.22564161,0.0
15,-0.07032986,1.1030807,0.21098958,0.0
15,-1.476927,1.3010726,0.061538626,0.0
15,-0.032234516,0.8733115,0.54798675,-0.36173776
15,0.0556778,0.86748445,0.1948723,-0.12057925
16,0.013186848,0.10383334,0.4087923,0.0
16,-0.07032986,1.1208736,0.07032986,0.0
16,0.86154073,0.98717886,-0.0820515,0.0
16,-0.164103,1.2921484,-0.164103,0.0
16,-1.476927,1.3025272,0.0,0.0
16,-0.029304106,0.79391956,0.4981698,-0.964634
16,-0.0278389,0.813544,0.3619057,-0.7234755
16,0.0278389,0.8621074,0.2227112,-0.36173776
16,-0.74139386,1.9845674,0.40439665,-0.2411585
16,-1.6175866,1.1751493,0.8087933,-0.2411585
16,0.4717961,2.0948112,0.20219833,-0.2411585
17,0.013186848,0.10383334,0.4087923,0.0
17,-0.14065972,1.1075557,-0.14065972,0.0
17,-1.476927,1.3025272,0.0,0.0
18,0.013186848,0.10383334,0.4087923,0.0
18,-0.17582464,1.1092292,-0.07032986,0.0
18,-0.31648436,1.2096732,-0.19780272,0.0
18,-1.476927,1.3025272,0.0,0.0
18,-0.20512876,0.5024608,0.36923176,0.84405476
18,0.26666737,0.5148691,0.30769312,0.84405476
19,0.013186848,0.10383334,0.4087923,0.0
19,-0.10109916,1.0474056,-0.23589805,0.0
19,-0.2197808,1.1367152,0.18315068,0.0
19,-0.435166,1.1648549,-0.23736328,0.0
19,-1.476927,1.3025272,0.0,0.0
19,-0.13479888,1.0678079,-0.06739944,-0.36173776
19,-0.096703544,0.50557864,0.032234516,-0.2411585
20,0.013186848,0.10383334,0.4087923,0.0
20,-0.17582464,1.1109002,-0.03516493,0.0
20,0.82051504,1.0215329,-0.0820515,0.0
20,-0.164103,1.3025272,0.0,0.0
20,-1.476927,1.3025272,0.0,0.0
20,0.20512876,0.51690817,-0.34871888,-0.84405476
20,-0.26666737,0.52658594,-0.28718024,-0.84405476
21,0.013186848,0.10383334,0.4087923,0.0
21,-0.10549479,1.1197698,-0.03516493,0.0
21,-1.476927,1.3025272,0.0,0.0
21,0.5626389,1.3621335,-0.28131944,0.36173776
21,-0.328206,1.45726,-0.14065972,0.36173776
22,0.013186848,0.10383334,0.4087923,0.0
22,-0.06739944,1.0715239,0.10109916,0.0
22,-0.31648436,1.1601429,-0.39560544,0.0
22,-1.476927,1.3025272,0.0,0.0
22,1.1604426,0.98143387,-0.29011065,0.2411585
22,-0.048351776,1.545745,-0.048351776,0.2411585
22,0.23443285,0.6393401,-0.64469033,-0.7234755
22,-0.43956158,0.61328954,-0.556778,-0.7234755
23,0.013186848,0.10383334,0.4087923,0.0
23,-0.10109916,1.0736415,0.0,0.0
23,-0.39560544,1.1702167,-0.2769238,0.0
23,-1.476927,1.3025272,0.0,0.0
23,-0.0,0.9425496,-0.4190487,0.6028963
24,0.013186848,0.10383334,0.4087923,0.0
24,-0.06739944,1.0741704,-0.06739944,0.0
24,-0.435166,1.1342223,-0.35604492,0.0
24,-1.476927,1.3025272,0.0,0.0
24,-0.032234516,1.0126975,-0.19340709,0.12057925
25,0.013186848,0.10383334,0.4087923,0.0
25,-0.10549479,1.02281,-0.45714408,0.0
25,-0.45714408,1.02281,0.10549479,0.0
25,-0.39560544,1.1601429,-0.31648436,0.0
25,-1.476927,1.3010726,0.061538626,0.0
25,-0.06739944,1.0571189,-0.20219833,0.12057925
26,0.013186848,0.10383334,0.4087923,0.0
26,-0.35604492,1.1342223,-0.435166,0.0
26,-1.476927,1.3025272,0.0,0.0
26,-0.10549479,1.1114565,-0.14065972,0.12057925
26,0.032234516,0.9269876,-0.45128322,-0.2411585
27,0.013186848,0.10383334,0.4087923,0.0
27,-0.14065972,1.1164519,0.0,0.0
27,-0.39560544,1.1356013,-0.39560544,0.0
27,-1.476927,1.3025272,0.0,0.0
28,0.013186848,0.10383334,0.4087923,0.0
28,-0.14065972,1.1142346,-0.07032986,0.0
28,-0.35604492,1.1614912,-0.35604492,0.0
28,-1.476927,1.3025272,0.0,0.0
28,0.03369972,0.9519798,-0.5054958,0.482317
29,0.013186848,0.10383334,0.4087923,0.0
29,-0.35604492,1.1614912,-0.35604492,0.0
29,-1.476927,1.3025272,0.0,0.0
29,0.03369972,1.0121143,-0.37069693,0.36173776
30,0.013186848,0.10383334,0.4087923,0.0
30,-0.10549479,1.1181121,-0.07032986,0.0
30,-0.39560544,1.1486192,-0.35604492,0.0
30,-1.476927,1.3025272,0.0,0.0
31,0.013186848,0.10383334,0.4087923,0.0
31,-0.17582464,1.1114565,0.0,0.0
31,-0.39560544,1.1486192,-0.35604492,0.0
31,-1.476927,1.3025272,0.0,0.0
