frame,x,y,z,velocity
0,0.07912108,0.068520926,0.4087923,0.0
0,0.18461588,0.9592923,-0.12307725,0.0
0,-1.3816887,1.3365492,0.0,0.0
0,-0.18315068,1.1367152,-0.2197808,-0.12057925
0,0.549452,0.9537913,-0.40293148,-0.12057925
1,0.07912108,0.068520926,0.4087923,0.0
1,0.15384656,0.94085693,-0.2461545,0.0
1,0.36630136,0.9684498,-0.549452,0.0
1,-1.3816887,1.3365492,0.0,0.0
2,0.07912108,0.068520926,0.4087923,0.0
2,0.16117258,1.0183251,-0.032234516,0.0
2,0.4395616,1.0559396,-0.25641096,0.0
2,-1.3816887,1.3365492,0.0,0.0
3,0.07912108,0.068520926,0.4087923,0.0
3,0.20219833,1.0587292,0.03369972,0.0
3,0.36630136,1.0742064,-0.29304108,0.0
3,-1.3816887,1.3365492,0.0,0.0
4,0.07912108,0.068520926,0.4087923,0.0
4,0.1684986,1.0630112,0.06739944,0.0
4,0.40293148,1.0379975,-0.36630136,0.0
4,-1.3816887,1.3365492,0.0,0.0
5,0.07912108,0.068520926,0.4087923,0.0
5,0.19340709,1.0111573,0.06446903,0.0
5,0.40293148,1.06101,-0.29304108,0.0
5,-1.3816887,1.3365492,0.0,0.0
6,0.07912108,0.068520926,0.4087923,0.0
6,0.13479888,1.0694021,-0.03369972,0.0
6,0.36630136,1.0915534,-0.2197808,0.0
6,-1.3816887,1.3365492,0.0,0.0
7,0.07912108,0.068520926,0.4087923,0.0
7,0.16117258,1.0003092,0.19340709,0.0
7,-1.3816887,1.3365492,0.0,0.0
7,-0.03809534,1.1573713,-0.3809534,0.2411585
8,0.07912108,0.068520926,0.4087923,0.0
8,0.16117258,1.0106432,-0.12893806,0.0
8,0.3296712,1.0952349,-0.25641096,0.0
8,-1.3816887,1.3365492,0.0,0.0
8,-0.03809534,1.2088895,-0.15238136,0.12057925
9,0.07912108,0.068520926,0.4087923,0.0
9,0.15384656,0.9705756,-0.061538626,0.0
9,-1.3816887,1.3365492,0.0,0.0
9,-0.25494573,1.2511404,-0.46740052,0.36173776
9,-0.26373696,1.2942832,-0.48351777,0.482317
9,0.40293148,1.0853899,-0.18315068,-0.12057925
