frame,x,y,z,velocity
0,0.07912108,0.068520926,0.4087923,0.0
0,-0.13479888,1.0694021,-0.03369972,0.0
0,0.9025665,0.95246917,-0.04102575,0.0
0,-1.3816887,1.3365492,0.0,0.0
0,-0.030769313,0.9443723,-0.2769238,0.6028963
0,-0.061538626,0.89759946,-0.40000108,0.84405476
1,0.07912108,0.068520926,0.4087923,0.0
1,0.94359225,0.9127654,0.0,0.0
1,-1.3816887,1.3365492,0.0,0.0
1,0.03516493,1.1241783,-0.03516493,0.2411585
1,0.06446903,1.0044557,-0.22564161,0.482317
2,0.07912108,0.068520926,0.4087923,0.0
2,1.0256437,0.8194888,0.0,0.0
2,-1.3816887,1.3365492,0.0,0.0
2,0.10109916,1.0731126,-0.03369972,0.12057925
2,0.03516493,1.1225271,-0.07032986,0.2411585
2,0.10109916,1.0544298,-0.20219833,0.482317
2,-0.10109916,1.068871,0.10109916,-0.12057925
3,0.07912108,0.068520926,0.4087923,0.0
3,-0.26666737,1.1268754,-0.3809534,0.0
3,0.984618,0.86835146,0.0,0.0
3,-1.3216152,1.3959801,0.0,0.0
3,-0.17582464,1.1114565,0.0,-0.12057925
4,0.07912108,0.068520926,0.4087923,0.0
4,0.07326027,1.1224612,-0.3296712,0.0
4,0.984618,0.86835146,0.0,0.0
4,-1.3216152,1.3959801,0.0,0.0
5,0.07912108,0.068520926,0.4087923,0.0
5,-0.0,1.0895455,-0.28131944,0.0
5,0.984618,0.86835146,0.0,0.0
5,-1.3816887,1.3365492,0.0,0.0
6,0.07912108,0.068520926,0.4087923,0.0
6,-0.13479888,1.0651457,-0.10109916,0.0
6,-0.30476272,1.1403177,-0.30476272,0.0
6,-1.3816887,1.3365492,0.0,0.0
7,0.07912108,0.068520926,0.4087923,0.0
7,-0.10109916,1.068871,0.10109916,0.0
7,-1.3216152,1.3959801,0.0,0.0
8,0.07912108,0.068520926,0.4087923,0.0
8,-0.10549479,1.1153438,0.10549479,0.0
8,0.984618,0.86835146,0.0,0.0
8,-1.3216152,1.3959801,0.0,0.0
9,0.07912108,0.068520926,0.4087923,0.0
9,-0.10109916,1.068871,0.10109916,0.0
9,-1.3216152,1.3959801,0.0,0.0
10,0.07912108,0.068520926,0.4087923,0.0
10,-0.032234516,1.0183251,-0.16117258,0.0
10,0.10549479,0.9474975,-0.59780383,0.0
10,0.07032986,1.1030807,0.21098958,0.0
10,-0.10549479,1.0844262,0.28131944,0.0
10,-0.34285808,1.1060777,-0.3809534,0.0
10,-1.3816887,1.3365492,0.0,0.0
10,0.10109916,0.9801927,-0.43809637,-0.2411585
11,0.07912108,0.068520926,0.4087923,0.0
11,-0.096703544,1.0142354,-0.16117258,0.0
11,-0.3296712,1.0754548,-0.3296712,0.0
11,0.984618,0.86835146,0.0,0.0
11,-1.3816887,1.3365492,0.0,0.0
12,0.07912108,0.068520926,0.4087923,0.0
12,-0.032234516,1.0264555,-0.096703544,0.0
12,-0.1098904,1.1461194,-0.2197808,0.0
12,0.94359225,0.9118429,-0.04102575,0.0
12,-1.3816887,1.3365492,0.0,0.0
12,0.2769238,0.8697435,-0.36923176,-0.36173776
13,0.07912108,0.068520926,0.4087923,0.0
13,-0.10109916,1.068871,0.10109916,0.0
13,-1.3816887,1.3365492,0.0,0.0
14,0.07912108,0.068520926,0.4087923,0.0
14,-0.07326027,1.1224612,-0.3296712,0.0
14,0.94359225,0.9127654,0.0,0.0
14,-1.3816887,1.3365492,0.0,0.0
14,0.36923176,0.90442944,-0.12307725,-0.12057925
15,0.07912108,0.068520926,0.4087923,0.0
15,-0.13479888,1.0651457,0.10109916,0.0
15,-0.14652054,1.0909387,-0.40293148,0.0
15,0.94359225,0.9127654,0.0,0.0
15,-1.3816887,1.3365492,0.0,0.0
15,0.36923176,0.9122466,-0.030769313,-0.36173776
16,0.07912108,0.068520926,0.4087923,0.0
16,-0.03369972,1.0646125,-0.1684986,0.0
16,-0.10109916,0.96442455,0.4717961,0.0
16,-0.3809534,1.1422251,-0.1904767,0.0
16,-1.3816887,1.3365492,0.0,0.0
16,0.43956158,0.82364875,0.08791232,-0.482317
17,0.07912108,0.068520926,0.4087923,0.0
17,-0.13479888,1.0694021,0.03369972,0.0
17,-0.22857204,1.1673596,-0.26666737,0.0
17,-1.3216152,1.3959801,0.0,0.0
17,0.34285805,0.7671074,0.07912108,-0.7234755
17,0.10549479,1.1181121,0.07032986,-0.2411585
18,0.07912108,0.068520926,0.4087923,0.0
18,-0.03369972,1.0773374,0.03369972,0.0
18,0.94359225,0.9127654,0.0,0.0
18,-1.3216152,1.3959801,0.0,0.0
18,-0.34285808,1.1673596,-0.07619068,0.12057925
18,0.23443285,0.69859415,0.14065972,-0.84405476
19,0.07912108,0.068520926,0.4087923,0.0
19,-0.23589805,1.0501127,0.06739944,0.0
19,-0.13479888,0.9241346,-0.53919554,0.0
19,-0.0,0.5220738,0.9435922,0.0
19,0.94359225,0.9118429,-0.04102575,0.0
19,-1.3816887,1.3365492,0.0,0.0
19,-0.30476272,1.1498232,-0.26666737,0.12057925
19,0.0820515,0.55003583,0.34871888,0.482317
19,0.04102575,0.56698716,0.328206,0.7234755
20,0.07912108,0.068520926,0.4087923,0.0
20,0.984618,0.86835146,0.0,0.0
