frame,x,y,z,velocity
0,0.07912108,0.068520926,0.4087923,0.0
0,-0.30769312,0.93530613,0.0,0.0
0,0.12307725,0.9592923,-0.18461588,0.0
0,0.984618,0.86835146,0.0,0.0
0,-1.3816887,1.3365492,0.0,0.0
0,0.32234517,0.91343766,-0.3545797,-0.2411585
0,0.32234517,0.8697348,-0.45128322,-0.12057925
0,0.12893806,1.0106432,0.16117258,-0.12057925
1,0.05274739,0.8319219,-0.13186848,0.0
1,-0.12307725,0.97252446,0.09230794,0.0
1,-1.3816887,1.3365492,0.0,0.0
2,0.05274739,0.8319219,-0.13186848,0.0
2,0.984618,0.86835146,0.0,0.0
2,-1.3816887,1.3365492,0.0,0.0
2,0.32234517,0.9713239,-0.12893806,-0.12057925
3,0.05274739,0.83567584,-0.10549478,0.0
3,0.2461545,0.94085693,-0.15384656,0.0
3,-1.3816887,1.3365492,0.0,0.0
4,0.05274739,0.8406551,-0.05274739,0.0
4,0.2769238,0.94286734,-0.061538626,0.0
4,-1.3816887,1.3365492,0.0,0.0
5,0.0835167,0.8864843,0.0278389,0.0
5,-0.22564161,1.0065224,0.0,0.0
5,-1.3216152,1.3959801,0.0,0.0
6,-0.25787613,0.9966671,-0.06446903,0.0
6,0.4190487,0.9151424,-0.22564161,0.0
6,-1.3216152,1.3959801,0.0,0.0
6,-0.13186848,0.096080035,-0.43956158,-0.964634
7,0.2461545,0.9287033,-0.21538518,0.0
7,-1.3216152,1.3959801,0.0,0.0
8,-0.12893806,1.0229064,-0.032234516,0.0
8,-1.3216152,1.3959801,0.0,0.0
9,0.12307725,0.97641075,0.030769313,0.0
9,-1.3816887,1.3365492,0.0,0.0
10,0.0835167,0.88517195,-0.0556778,0.0
10,-0.06446903,1.0274674,-0.06446903,0.0
10,0.984618,0.86835146,0.0,0.0
10,-1.3216152,1.3959801,0.0,0.0
11,0.07912108,0.838584,-0.05274739,0.0
11,0.0835167,0.8864843,-0.0278389,0.0
11,-0.19340709,1.0111573,-0.06446903,0.0
11,-1.3816887,1.3365492,0.0,0.0
11,0.29304105,0.8907677,0.0,-0.2411585
12,-0.0,0.80989146,-0.23736326,0.0
12,-0.12893806,1.0234141,0.0,0.0
12,-1.3216152,1.3959801,0.0,0.0
12,0.4454224,0.5655617,-0.21098956,-0.84405476
13,0.05274739,0.8319219,-0.13186848,0.0
13,-1.3216152,1.3959801,0.0,0.0
13,0.43077037,0.49358943,-0.04102575,-0.482317
14,0.05274739,0.8319219,-0.13186848,0.0
14,-1.3216152,1.3959801,0.0,0.0
14,-0.19340709,1.0126975,0.032234516,0.12057925
14,0.41904873,0.44262785,0.0,-0.482317
15,0.07912108,0.068520926,0.4087923,0.0
15,0.05274739,0.8319219,-0.13186848,0.0
15,-0.16117258,0.9425496,-0.38681418,0.0
15,-0.19340709,0.9877657,0.22564161,0.0
15,-1.3816887,1.3365492,0.0,0.0
15,0.38681424,0.40820107,0.017582465,-0.7234755
15,-1.2805893,1.7354538,0.0,-0.36173776
15,1.21319,1.7819474,0.06739944,-0.36173776
15,0.26373696,0.89221257,0.11721642,-0.12057925
16,0.026373696,0.8285707,-0.15824217,0.0
16,0.94359225,0.9127654,0.0,0.0
16,-1.3816887,1.3365492,0.0,0.0
16,-0.16117258,1.0188351,0.0,0.12057925
16,1.120882,1.7679722,0.26373696,-0.964634
16,-0.9230794,1.8869176,0.19780272,-0.964634
16,0.26373696,0.36453882,0.13186848,-0.84405476
16,0.2197808,0.6666282,0.04395616,-0.36173776
