frame,x,y,z,velocity
0,-0.0,0.14684252,0.39560544,0.0
0,-0.13186848,1.3830483,-0.2197808,0.0
0,-0.1934071,1.456986,-0.48351777,0.0
0,0.22564161,0.8996837,-0.45128322,-0.84405476
0,-0.54798675,0.7836369,-0.38681418,-0.84405476
0,0.26959777,0.91362923,-0.5054958,-0.6028963
0,-0.53919554,0.84181875,-0.40439665,-0.6028963
1,-0.0,0.14684252,0.39560544,0.0
1,-0.13186848,1.3893206,-0.17582464,0.0
1,-0.0,1.498125,-0.3868142,0.0
1,0.09084273,1.4477949,-0.09084273,0.36173776
1,1.1604426,1.1064386,-0.5274739,0.84405476
1,-0.26373696,1.6368698,-0.31648433,0.84405476
1,0.34285808,0.91903776,-0.72381145,-0.36173776
1,-0.53333473,0.9354714,-0.5714301,-0.36173776
2,-0.0,0.14684252,0.39560544,0.0
2,-0.08791232,1.4010918,-0.08791232,0.0
2,-1.476927,1.3025272,0.0,0.0
2,0.09377314,1.4967028,-0.04688657,0.12057925
3,-0.0,0.14684252,0.39560544,0.0
3,0.93480104,0.98648584,-0.042490955,0.0
3,-0.18168546,1.4392196,0.09084273,0.0
3,-1.476927,1.3025272,0.0,0.0
3,0.04688657,1.4730146,-0.28131944,0.2411585
4,-0.0,0.14684252,0.39560544,0.0
4,0.94359225,0.9127654,0.0,0.0
4,-0.14065972,1.4937624,0.0,0.0
4,0.048351776,1.4335302,-0.5802213,0.36173776
5,-0.0,0.14684252,0.39560544,0.0
5,0.94359225,0.9127654,0.0,0.0
5,-0.09084273,1.4506421,0.0,0.0
5,-0.0,1.4138244,-0.62857306,-0.12057925
6,-0.0,0.14684252,0.39560544,0.0
6,0.94359225,0.9127654,0.0,0.0
6,-0.04688657,1.4730146,0.28131944,0.0
7,-0.0,0.14684252,0.39560544,0.0
7,-0.1362641,1.4356314,-0.18168546,0.0
8,-0.0,0.14684252,0.39560544,0.0
8,-0.13186848,1.3941797,-0.13186848,0.0
9,-0.0,0.14684252,0.39560544,0.0
9,-0.13186848,1.3941797,-0.13186848,0.0
10,0.013186848,0.10383334,0.4087923,0.0
10,0.94359225,0.9127654,0.0,0.0
10,-0.13186848,1.3753432,-0.26373696,0.0
10,-0.0,1.5404423,-0.14505532,-0.12057925
11,-0.0,0.14684252,0.39560544,0.0
11,-0.09084273,1.4477949,-0.09084273,0.0
11,-0.0,1.2604854,-0.50989145,-0.7234755
11,-0.0,1.497437,-0.09377314,-0.12057925
12,-0.0,0.14684252,0.39560544,0.0
12,-0.13186848,1.3893206,-0.17582464,0.0
12,-0.04688657,1.4878639,-0.18754628,0.0
12,-0.04102575,1.2463999,-0.41025752,-0.964634
12,0.09084273,1.4477949,-0.09084273,-0.36173776
13,-0.0,0.14684252,0.39560544,0.0
13,-0.13186848,1.3893206,-0.17582464,0.0
13,-0.28131944,0.689089,-0.8439583,0.482317
13,-0.38681424,1.0567046,0.0,0.482317
13,0.04395616,1.4031589,-0.08791232,-0.482317
13,-0.0,1.4996375,-0.04688657,-0.12057925
14,-0.0,0.14684252,0.39560544,0.0
14,0.94359225,0.9127654,0.0,0.0
14,-0.045421366,1.4499308,-0.09084273,0.0
14,-0.24175888,1.500464,-0.29011065,0.0
14,-1.476927,1.3010726,0.061538626,0.0
14,-0.3545797,0.9638066,0.096703544,0.84405476
14,-0.25787613,0.7628079,-0.64469033,0.84405476
14,0.38681418,0.9556868,0.032234516,0.84405476
14,-0.096703544,1.0223984,-0.096703544,-0.84405476
15,-0.0,0.14684252,0.39560544,0.0
15,-0.13186848,1.3893206,-0.17582464,0.0
15,-0.11721642,0.9299149,0.029304106,-0.36173776
16,-0.0,0.14684252,0.39560544,0.0
16,-0.17582464,1.3704175,-0.26373696,0.0
17,-0.0,0.14684252,0.39560544,0.0
17,-0.17582464,1.3704175,-0.26373696,0.0
17,-0.09377314,1.4789722,0.23443285,0.0
18,-0.0,0.14684252,0.39560544,0.0
18,0.94359225,0.9127654,0.0,0.0
18,-0.1362641,1.444228,-0.09084273,0.0
18,0.11721642,0.9003564,0.23443285,-0.2411585
19,-0.0,0.14684252,0.39560544,0.0
19,-0.13186848,1.3941797,-0.13186848,0.0
20,-0.0,0.14684252,0.39560544,0.0
20,-0.09084273,1.4506421,0.0,0.0
21,-0.0,0.14684252,0.39560544,0.0
21,-0.13186848,1.3893206,-0.17582464,0.0
21,-0.1934071,1.5074592,0.29011065,0.0
21,-1.476927,1.3010726,0.061538626,0.0
21,-0.11721642,0.9285287,0.05860821,0.36173776
22,-0.0,0.14684252,0.39560544,0.0
22,0.94359225,0.9127654,0.0,0.0
22,-0.13186848,1.3941797,-0.13186848,0.0
22,-0.14505532,1.4776986,0.43516597,0.0
22,-1.476927,1.3010726,0.061538626,0.0
23,-0.0,0.14684252,0.39560544,0.0
23,0.8923101,1.0250806,-0.042490955,0.0
23,-0.12747286,1.347707,-0.12747286,0.0
23,-0.04688657,1.4878639,0.18754628,0.0
24,-0.0,0.14684252,0.39560544,0.0
24,-0.13186848,1.3893206,-0.17582464,0.0
24,-0.030769313,0.9122466,0.36923176,-0.2411585
25,-0.0,0.14684252,0.39560544,0.0
25,-0.13186848,1.3941797,-0.13186848,0.0
25,-1.476927,1.3010726,0.061538626,0.0
25,0.029304106,0.8688062,0.35164928,-0.2411585
26,-0.0,0.14684252,0.39560544,0.0
26,-0.08498191,1.3543887,-0.08498191,0.0
26,0.8923101,1.018011,-0.12747286,0.0
26,-0.0,1.497437,0.09377314,0.0
26,-1.476927,1.3010726,0.061538626,0.0
27,-0.0,0.14684252,0.39560544,0.0
27,-0.1362641,1.4463693,-0.045421366,0.0
28,-0.0,0.14684252,0.39560544,0.0
28,0.93480104,0.98648584,-0.042490955,0.0
28,-0.08498191,1.3543887,-0.08498191,0.0
28,-0.04688657,1.4730146,0.28131944,0.0
29,-0.0,0.14684252,0.39560544,0.0
29,-0.09084273,1.4506421,0.0,0.0
29,-1.476927,1.3010726,0.061538626,0.0
30,-0.0,0.14684252,0.39560544,0.0
30,-0.13186848,1.3893206,-0.17582464,0.0
30,-0.24175888,1.3930012,-0.62857306,0.0
30,0.030769313,0.98221123,0.061538626,0.36173776
31,-0.0,0.14684252,0.39560544,0.0
