frame,x,y,z,velocity
0,-0.0,0.14684252,0.39560544,0.0
0,-0.0,1.0762827,-0.06739944,0.0
0,-1.476927,1.3010726,0.061538626,0.0
0,0.14065972,1.115898,-0.03516493,0.12057925
0,0.36923176,0.53648126,-0.7384635,-0.36173776
0,-0.33846244,0.69008374,-0.61538625,-0.36173776
1,-0.0,0.14684252,0.39560544,0.0
1,0.2197808,1.1507927,-0.036630135,0.0
1,-1.476927,1.3010726,0.061538626,0.0
1,0.43809637,0.56289625,-0.8087933,-0.84405476
1,-0.3369972,0.77142185,-0.6739944,-0.84405476
2,-0.0,0.14684252,0.39560544,0.0
2,0.17582464,1.1092292,0.07032986,0.0
2,0.94359225,0.9118429,-0.04102575,0.0
2,-1.476927,1.3025272,0.0,0.0
2,0.18315068,1.1098387,-0.3296712,0.2411585
3,-0.0,0.14684252,0.39560544,0.0
3,-0.03516493,1.115898,0.14065972,0.0
3,0.03516493,1.0425675,-0.42197916,0.0
3,-1.476927,1.3025272,0.0,0.0
3,0.14652054,1.1037773,-0.36630136,0.12057925
3,-1.2717983,0.21317632,-0.2461545,0.36173776
3,-0.0,1.7097709,-0.5011002,0.36173776
4,-0.0,0.14684252,0.39560544,0.0
4,-0.06739944,1.0715239,-0.10109916,0.0
4,-1.476927,1.3025272,0.0,0.0
4,-1.2747287,0.07359655,-0.46740052,0.36173776
5,-0.0,0.14684252,0.39560544,0.0
5,-0.07032986,1.1181121,0.10549479,0.0
5,-1.476927,1.3010726,0.061538626,0.0
5,0.14652054,1.06101,-0.47619176,-0.36173776
5,0.07619068,1.1950041,-0.22857204,-0.12057925
6,-0.0,0.14684252,0.39560544,0.0
6,-0.06739944,1.075755,-0.03369972,0.0
6,0.036630135,1.1710191,-0.036630135,0.0
6,0.9025665,0.95246917,-0.04102575,0.0
6,-1.476927,1.3025272,0.0,0.0
6,0.10549479,0.9883785,-0.5274739,-0.36173776
7,-0.0,0.14684252,0.39560544,0.0
7,-0.10109916,1.0651457,-0.13479888,0.0
7,0.14652054,1.1623937,-0.036630135,0.0
7,-1.476927,1.3010726,0.061538626,0.0
8,-0.0,0.14684252,0.39560544,0.0
8,-0.03516493,1.1197698,-0.10549479,0.0
8,-1.476927,1.3010726,0.061538626,0.0
9,-0.0,0.14684252,0.39560544,0.0
9,-0.13479888,1.0678079,-0.06739944,0.0
9,0.14652054,1.1484584,-0.18315068,0.0
9,-1.5384656,1.2292331,0.0,0.0
